age,are_food_areas_important_to_you,current_status,did_you_find_our_events_value_for_money,do_you_enjoy_adrenaline_rush_activities,favourite_attraction,gender,how_many_hours_are_you_willing_to_travel_to_attend_an_event,how_often_you_attend_entertaining_events_in_a_year,social_media,total_household_income,were_you_satisfied_with_the_last_event_you_attended_with_us,would_you_recommend_our_events_to_other_people
65 or older,Entirely agree,Married with children,Entirely agree,Somewhat disagree,Kids Playground,Male,5 hours,3 Times a Year,I don't spend any time at all,"200,000 or more",Entirely agree,Very Unlikely
50-59,Neither agree nor disagree,"Single, never married",Somewhat disagree,Entirely agree,Tree climbing,Male,2 hours,2 Times a Year,More than half a day,"20,000 to 34,999",Somewhat agree,Somewhat Likely
40-49,Neither agree nor disagree,Married with children,Neither agree nor disagree,Mostly agree,Crazy rollercoaster ride,Male,1 hour,4 Times a Year,I don't spend any time at all,"35,000 to 49,999",Neither agree nor disagree,Somewhat Likely
50-59,Somewhat disagree,Married with children,Neither agree nor disagree,Entirely agree,Crazy rollercoaster ride,Female,4 hours,4 Times a Year,Up to 2 hours,"20,000 to 34,999",Mostly agree,Very Likely
50-59,Neither agree nor disagree,Living with partner,Somewhat disagree,Entirely agree,Tree climbing,Female,2 hours,2 Times a Year,More than half a day,"35,000 to 49,999",Somewhat agree,Somewhat Likely
60-64,Neither agree nor disagree,Married with children,Somewhat agree,Somewhat agree,Kids Playground,Male,2 hours,4 Times a Year,Up to 2 hours,"Less than 20,000",Mostly agree,Somewhat Unlikely
65 or older,Entirely agree,Married with children,Entirely agree,Somewhat disagree,Kids Playground,Male,5 hours,3 Times a Year,I don't spend any time at all,"200,000 or more",Entirely agree,Very Unlikely
40-49,Mostly disagree,Married without children,Neither agree nor disagree,Mostly agree,Crazy rollercoaster ride,Female,3 hours,3 Times a Year,Up to 2 hours,"50,000 to 74,999",Entirely disagree,Mostly Unlikely
65 or older,Somewhat disagree,Married without children,Neither agree nor disagree,Entirely agree,Kids Playground,Male,2 hours,4 Times a Year,I don't spend any time at all,"50,000 to 74,999",Mostly agree,Somewhat Likely
33-39,Neither agree nor disagree,"Single, never married",Somewhat disagree,Entirely agree,Tree climbing,Female,2 hours,2 Times a Year,More than half a day,"35,000 to 49,999",Somewhat agree,Somewhat Likely
65 or older,Entirely agree,Married with children,Entirely agree,Somewhat disagree,Kids Playground,Female,5 hours,3 Times a Year,I don't spend any time at all,"100,000 to 149,999",Entirely agree,Very Unlikely
40-49,Somewhat disagree,Married with children,Neither agree nor disagree,Entirely agree,Kids Playground,Female,4 hours,3 Times a Year,Up to 2 hours,"50,000 to 74,999",Entirely agree,Very Likely
26-32,Somewhat disagree,"Single, never married",Mostly disagree,Entirely agree,Crazy rollercoaster ride,Female,6 hours plus,5+ Times a Year,Half a day,"Less than 20,000",Mostly agree,Mostly Likely
65 or older,Somewhat disagree,Married with children,Mostly disagree,Entirely agree,Crazy rollercoaster ride,Male,5 hours,3 Times a Year,I don't spend any time at all,"50,000 to 74,999",Mostly agree,Mostly Unlikely
50-59,Somewhat disagree,Married without children,Somewhat disagree,Mostly agree,Happy Rollercoaster,Male,5 hours,3 Times a Year,Up to 1 hour,"200,000 or more",Mostly disagree,Somewhat Likely
65 or older,Entirely disagree,Married with children,Somewhat agree,Entirely agree,Crazy rollercoaster ride,Male,Depends from the Event,3 Times a Year,Up to 1 hour,"35,000 to 49,999",Mostly agree,Mostly Likely
40-49,Mostly disagree,Married with children,Entirely agree,Entirely agree,Crazy rollercoaster ride,Male,3 hours,3 Times a Year,Up to 1 hour,"75,000 to 99,999",Somewhat agree,Mostly Likely
40-49,Somewhat disagree,Living with partner,Mostly disagree,Mostly agree,Tree climbing,Female,3 hours,4 Times a Year,Up to 1 hour,"50,000 to 74,999",Entirely agree,Somewhat Unlikely
50-59,Entirely agree,Married with children,Entirely agree,Somewhat disagree,Kids Playground,Male,5 hours,3 Times a Year,I don't spend any time at all,"150,000 to 199,999",Entirely agree,Very Unlikely
40-49,Neither agree nor disagree,Married with children,Neither agree nor disagree,Entirely agree,Ice Bar,Female,6 hours plus,3 Times a Year,I don't spend any time at all,"Less than 20,000",Somewhat agree,Mostly Unlikely
33-39,Neither agree nor disagree,"Single, never married",Somewhat disagree,Entirely agree,Tree climbing,Male,2 hours,2 Times a Year,More than half a day,"35,000 to 49,999",Somewhat agree,Somewhat Likely
26-32,Entirely agree,Married with children,Entirely agree,Somewhat disagree,Kids Playground,Male,5 hours,3 Times a Year,I don't spend any time at all,"100,000 to 149,999",Entirely agree,Very Unlikely
65 or older,Entirely agree,Married with children,Entirely agree,Somewhat disagree,Kids Playground,Female,5 hours,3 Times a Year,I don't spend any time at all,"100,000 to 149,999",Entirely agree,Very Unlikely
40-49,Entirely agree,Married with children,Entirely agree,Somewhat disagree,Kids Playground,Male,5 hours,3 Times a Year,I don't spend any time at all,"100,000 to 149,999",Entirely agree,Very Unlikely
50-59,Entirely disagree,Married with children,Neither agree nor disagree,Entirely agree,Crazy rollercoaster ride,Male,5 hours,4 Times a Year,I don't spend any time at all,"75,000 to 99,999",Mostly agree,Mostly Likely
33-39,Entirely disagree,Living with partner,Neither agree nor disagree,Entirely agree,Crazy rollercoaster ride,Male,2 hours,3 Times a Year,Up to 1 hour,"50,000 to 74,999",Mostly agree,Mostly Unlikely
50-59,Somewhat disagree,Married without children,Mostly disagree,Entirely agree,Crazy rollercoaster ride,Female,5 hours,4 Times a Year,Up to 1 hour,"100,000 to 149,999",Somewhat disagree,Mostly Unlikely
50-59,Neither agree nor disagree,"Single, never married",Somewhat disagree,Entirely agree,Tree climbing,Male,2 hours,2 Times a Year,More than half a day,"20,000 to 34,999",Somewhat agree,Somewhat Likely
40-49,Somewhat disagree,"Single, never married",Mostly disagree,Entirely agree,Crazy rollercoaster ride,Female,6 hours plus,5+ Times a Year,Half a day,"Less than 20,000",Mostly agree,Mostly Likely
26-32,Neither agree nor disagree,Married without children,Somewhat disagree,Entirely agree,Tree climbing,Female,2 hours,2 Times a Year,More than half a day,"20,000 to 34,999",Somewhat agree,Somewhat Likely
50-59,Entirely disagree,Living with partner,Entirely disagree,Entirely agree,Ice skating,Female,6 hours plus,3 Times a Year,Up to 1 hour,"50,000 to 74,999",Mostly agree,Very Unlikely
26-32,Neither agree nor disagree,"Single, never married",Somewhat disagree,Entirely agree,Tree climbing,Male,2 hours,2 Times a Year,More than half a day,"35,000 to 49,999",Somewhat agree,Somewhat Likely
33-39,Entirely agree,Married with children,Entirely agree,Somewhat disagree,Kids Playground,Male,5 hours,3 Times a Year,I don't spend any time at all,"100,000 to 149,999",Entirely agree,Very Unlikely
65 or older,Somewhat disagree,Married with children,Entirely disagree,Entirely agree,Ice skating,Male,3 hours,4 Times a Year,I don't spend any time at all,"35,000 to 49,999",Mostly agree,Mostly Likely
65 or older,Somewhat disagree,Married with children,Entirely agree,Mostly agree,Wooden Bar,Female,4 hours,3 Times a Year,I don't spend any time at all,"Less than 20,000",Mostly agree,Mostly Likely
26-32,Neither agree nor disagree,"Single, never married",Somewhat disagree,Entirely agree,Tree climbing,Female,2 hours,2 Times a Year,More than half a day,"20,000 to 34,999",Somewhat agree,Somewhat Likely
65 or older,Entirely disagree,Married with children,Entirely agree,Mostly agree,Ice skating,Male,3 hours,2 Times a Year,Up to 1 hour,"50,000 to 74,999",Mostly agree,Very Unlikely
26-32,Neither agree nor disagree,"Single, never married",Somewhat disagree,Entirely agree,Tree climbing,Male,2 hours,2 Times a Year,More than half a day,"20,000 to 34,999",Somewhat agree,Somewhat Likely
18-20,Somewhat disagree,"Single, never married",Mostly disagree,Entirely agree,Crazy rollercoaster ride,Female,6 hours plus,5+ Times a Year,Half a day,"50,000 to 74,999",Mostly agree,Mostly Likely
26-32,Neither agree nor disagree,"Single, never married",Somewhat disagree,Entirely agree,Tree climbing,Male,2 hours,2 Times a Year,More than half a day,"35,000 to 49,999",Somewhat agree,Somewhat Likely
40-49,Neither agree nor disagree,Married without children,Entirely disagree,Somewhat agree,Happy Rollercoaster,Male,3 hours,3 Times a Year,Up to 1 hour,"100,000 to 149,999",Mostly disagree,Very Unlikely
65 or older,Entirely disagree,Married with children,Somewhat disagree,Entirely agree,Tree climbing,Female,Depends from the Event,4 Times a Year,Up to 1 hour,"75,000 to 99,999",Mostly agree,Very Likely
26-32,Neither agree nor disagree,"Single, never married",Somewhat disagree,Entirely agree,Tree climbing,Female,2 hours,2 Times a Year,More than half a day,"20,000 to 34,999",Somewhat agree,Somewhat Likely
65 or older,Entirely disagree,Living with partner,Somewhat agree,Entirely agree,Crazy rollercoaster ride,Male,Depends from the Event,3 Times a Year,Up to 1 hour,"50,000 to 74,999",Mostly agree,Very Unlikely
40-49,Entirely disagree,Married with children,Somewhat agree,Entirely agree,Ice skating,Female,5 hours,3 Times a Year,Up to 2 hours,"50,000 to 74,999",Somewhat agree,Very Likely
33-39,Neither agree nor disagree,Married with children,Mostly agree,Entirely agree,Crazy rollercoaster ride,Female,6 hours plus,2 Times a Year,Up to 2 hours,"50,000 to 74,999",Mostly disagree,Mostly Likely
50-59,Neither agree nor disagree,Married with children,Mostly disagree,Entirely agree,Ice Bar,Male,4 hours,3 Times a Year,Up to 2 hours,"75,000 to 99,999",Mostly agree,Very Likely
65 or older,Entirely agree,Married with children,Entirely agree,Somewhat disagree,Kids Playground,Male,5 hours,3 Times a Year,I don't spend any time at all,"200,000 or more",Entirely agree,Very Unlikely
40-49,Neither agree nor disagree,Living with partner,Somewhat disagree,Entirely agree,Tree climbing,Female,2 hours,2 Times a Year,More than half a day,"35,000 to 49,999",Somewhat agree,Somewhat Likely
60-64,Entirely agree,Married with children,Entirely agree,Somewhat disagree,Kids Playground,Male,5 hours,3 Times a Year,I don't spend any time at all,"100,000 to 149,999",Entirely agree,Very Unlikely
65 or older,Neither agree nor disagree,Widowed,Somewhat disagree,Entirely agree,Tree climbing,Female,2 hours,2 Times a Year,More than half a day,"20,000 to 34,999",Somewhat agree,Somewhat Likely
50-59,Neither agree nor disagree,Married without children,Somewhat disagree,Entirely agree,Tree climbing,Male,2 hours,2 Times a Year,More than half a day,"35,000 to 49,999",Somewhat agree,Somewhat Likely
65 or older,Entirely disagree,Married with children,Entirely disagree,Mostly agree,Crazy rollercoaster ride,Male,3 hours,4 Times a Year,Up to 2 hours,"35,000 to 49,999",Mostly agree,Very Likely
40-49,Entirely agree,Married with children,Entirely agree,Somewhat disagree,Kids Playground,Male,5 hours,3 Times a Year,I don't spend any time at all,"200,000 or more",Entirely agree,Very Unlikely
50-59,Neither agree nor disagree,Married with children,Somewhat agree,Mostly agree,Ice skating,Male,3 hours,4 Times a Year,Up to 1 hour,"35,000 to 49,999",Mostly agree,Neither agree nor disagree
50-59,Entirely disagree,Married without children,Somewhat disagree,Mostly agree,Crazy rollercoaster ride,Male,5 hours,2 Times a Year,Up to 2 hours,"150,000 to 199,999",Somewhat disagree,Mostly Likely
40-49,Neither agree nor disagree,Married with children,Entirely agree,Mostly agree,Crazy rollercoaster ride,Male,Depends from the Event,2 Times a Year,I don't spend any time at all,"75,000 to 99,999",Entirely disagree,Somewhat Unlikely
21-25,Somewhat disagree,"Single, never married",Mostly disagree,Entirely agree,Crazy rollercoaster ride,Female,6 hours plus,5+ Times a Year,Half a day,"Less than 20,000",Mostly agree,Mostly Likely
26-32,Neither agree nor disagree,Living with partner,Somewhat agree,Entirely agree,Crazy rollercoaster ride,Male,4 hours,2 Times a Year,More than half a day,"50,000 to 74,999",Somewhat disagree,Mostly Likely
65 or older,Entirely agree,Married with children,Entirely agree,Somewhat disagree,Kids Playground,Male,5 hours,3 Times a Year,I don't spend any time at all,"100,000 to 149,999",Entirely agree,Very Unlikely
33-39,Entirely agree,Married with children,Entirely agree,Somewhat disagree,Kids Playground,Male,5 hours,3 Times a Year,I don't spend any time at all,"100,000 to 149,999",Entirely agree,Very Unlikely
65 or older,Mostly disagree,Married with children,Mostly disagree,Entirely agree,Crazy rollercoaster ride,Male,6 hours plus,3 Times a Year,Up to 2 hours,"35,000 to 49,999",Mostly agree,Very Likely
40-49,Somewhat disagree,Married with children,Entirely agree,Entirely agree,Crazy rollercoaster ride,Male,5 hours,4 Times a Year,Up to 2 hours,"35,000 to 49,999",Somewhat disagree,Very Likely
33-39,Neither agree nor disagree,Married without children,Mostly disagree,Entirely agree,Kids Playground,Male,4 hours,4 Times a Year,Up to 2 hours,"50,000 to 74,999",Entirely agree,Very Likely
40-49,Mostly disagree,Married with children,Mostly agree,Entirely agree,Crazy rollercoaster ride,Male,5 hours,4 Times a Year,More than half a day,"75,000 to 99,999",Neither agree nor disagree,Very Likely
60-64,Somewhat disagree,Widowed,Mostly disagree,Entirely agree,Crazy rollercoaster ride,Female,6 hours plus,5+ Times a Year,Half a day,"50,000 to 74,999",Mostly agree,Mostly Likely
60-64,Neither agree nor disagree,"Single, never married",Somewhat disagree,Entirely agree,Tree climbing,Female,2 hours,2 Times a Year,More than half a day,"35,000 to 49,999",Somewhat agree,Somewhat Likely
40-49,Neither agree nor disagree,Divorced,Somewhat disagree,Entirely agree,Tree climbing,Male,2 hours,2 Times a Year,More than half a day,"35,000 to 49,999",Somewhat agree,Somewhat Likely
33-39,Somewhat disagree,Married without children,Entirely disagree,Entirely agree,Ice Bar,Female,6 hours plus,4 Times a Year,Up to 2 hours,"100,000 to 149,999",Neither agree nor disagree,Very Likely
40-49,Somewhat disagree,"Single, never married",Mostly disagree,Entirely agree,Crazy rollercoaster ride,Male,6 hours plus,5+ Times a Year,Half a day,"Less than 20,000",Mostly agree,Mostly Likely
21-25,Somewhat disagree,"Single, never married",Neither agree nor disagree,Mostly agree,Tree climbing,Male,5 hours,3 Times a Year,Half a day,"150,000 to 199,999",Mostly disagree,Very Likely
60-64,Entirely agree,Married with children,Entirely agree,Somewhat disagree,Kids Playground,Male,5 hours,3 Times a Year,I don't spend any time at all,"100,000 to 149,999",Entirely agree,Very Unlikely
33-39,Neither agree nor disagree,Married with children,Mostly disagree,Entirely agree,Happy Rollercoaster,Male,4 hours,4 Times a Year,Up to 2 hours,"50,000 to 74,999",Mostly agree,Very Likely
21-25,Neither agree nor disagree,"Single, never married",Somewhat disagree,Entirely agree,Tree climbing,Female,2 hours,2 Times a Year,More than half a day,"35,000 to 49,999",Somewhat agree,Somewhat Likely
26-32,Neither agree nor disagree,Living with partner,Somewhat disagree,Entirely agree,Tree climbing,Male,2 hours,2 Times a Year,More than half a day,"35,000 to 49,999",Somewhat agree,Somewhat Likely
40-49,Neither agree nor disagree,"Single, never married",Somewhat disagree,Entirely agree,Tree climbing,Male,2 hours,2 Times a Year,More than half a day,"20,000 to 34,999",Somewhat agree,Somewhat Likely
50-59,Neither agree nor disagree,Living with partner,Somewhat disagree,Entirely agree,Tree climbing,Male,2 hours,2 Times a Year,More than half a day,"35,000 to 49,999",Somewhat agree,Somewhat Likely
40-49,Somewhat disagree,Separated,Mostly agree,Mostly agree,Crazy rollercoaster ride,Male,6 hours plus,2 Times a Year,Up to 1 hour,"100,000 to 149,999",Somewhat disagree,Mostly Likely
65 or older,Somewhat disagree,Married with children,Neither agree nor disagree,Somewhat agree,Ice Bar,Male,3 hours,4 Times a Year,I don't spend any time at all,"75,000 to 99,999",Mostly agree,Mostly Likely
50-59,Mostly disagree,Married without children,Entirely agree,Mostly agree,Wooden Bar,Male,4 hours,4 Times a Year,Up to 1 hour,"150,000 to 199,999",Entirely disagree,Neither agree nor disagree
40-49,Entirely agree,Married with children,Entirely agree,Somewhat disagree,Kids Playground,Male,5 hours,3 Times a Year,I don't spend any time at all,"100,000 to 149,999",Entirely agree,Very Unlikely
